activity_id,customer_id,activity_date,activity_type,sales_rep,duration_minutes,outcome,next_steps
ACT_CUST_0003_11,CUST_0003,2022-08-13,Proposal Sent,rep_14,117,Negative,Send proposal
ACT_CUST_0004_1,CUST_0004,2023-01-26,Contract Review,rep_6,32,Negative,Final approval
ACT_CUST_0004_2,CUST_0004,2023-02-05,Negotiation,rep_6,107,Positive,Budget approval
ACT_CUST_0004_3,CUST_0004,2023-01-15,Follow-up Call,rep_6,86,Neutral,Schedule demo
ACT_CUST_0005_1,CUST_0005,2023-05-27,Proposal Sent,rep_6,119,Positive,Final approval
ACT_CUST_0005_2,CUST_0005,2023-05-31,Contract Review,rep_6,110,Positive,Technical review
ACT_CUST_0005_3,CUST_0005,2023-06-25,Negotiation,rep_6,86,Negative,Technical review
ACT_CUST_0005_4,CUST_0005,2023-06-24,Demo,rep_6,67,Positive,Final approval
ACT_CUST_0006_1,CUST_0006,2022-12-08,Closing Call,rep_19,98,Positive,Technical review
ACT_CUST_0006_2,CUST_0006,2022-11-17,Follow-up Call,rep_19,101,Positive,Final approval
ACT_CUST_0006_3,CUST_0006,2022-11-26,Demo,rep_19,63,Neutral,Budget approval
ACT_CUST_0006_4,CUST_0006,2022-12-14,Proposal Sent,rep_19,36,Neutral,Technical review
ACT_CUST_0006_5,CUST_0006,2022-11-23,Closing Call,rep_19,93,Positive,Schedule demo
ACT_CUST_0006_6,CUST_0006,2022-10-21,Proposal Sent,rep_19,58,Positive,Technical review
ACT_CUST_0007_1,CUST_0007,2022-04-08,Closing Call,rep_9,65,Positive,Budget approval
ACT_CUST_0007_2,CUST_0007,2022-03-16,Closing Call,rep_9,90,Positive,Budget approval
ACT_CUST_0007_3,CUST_0007,2022-03-21,Proposal Sent,rep_9,38,Neutral,Send proposal
ACT_CUST_0007_4,CUST_0007,2022-04-20,Proposal Sent,rep_9,99,Positive,Final approval
ACT_CUST_0007_5,CUST_0007,2022-04-18,Closing Call,rep_9,25,Positive,Budget approval
ACT_CUST_0007_6,CUST_0007,2022-02-19,Demo,rep_9,23,Negative,Budget approval
ACT_CUST_0007_7,CUST_0007,2022-04-03,Demo,rep_9,18,Neutral,Contract terms
ACT_CUST_0008_1,CUST_0008,2023-03-12,Negotiation,rep_4,34,Positive,Budget approval
ACT_CUST_0008_2,CUST_0008,2023-03-17,Proposal Sent,rep_4,46,Neutral,Budget approval
ACT_CUST_0008_3,CUST_0008,2023-04-16,Proposal Sent,rep_4,31,Positive,Send proposal
ACT_CUST_0008_4,CUST_0008,2023-02-17,Demo,rep_4,99,Positive,Technical review
ACT_CUST_0009_1,CUST_0009,2023-02-12,Negotiation,rep_15,49,Positive,Send proposal
ACT_CUST_0009_2,CUST_0009,2023-01-26,Negotiation,rep_15,37,Positive,Budget approval
ACT_CUST_0009_3,CUST_0009,2023-01-20,Closing Call,rep_15,96,Neutral,Budget approval
ACT_CUST_0009_4,CUST_0009,2023-01-09,Closing Call,rep_15,96,Positive,Technical review
ACT_CUST_0009_5,CUST_0009,2023-01-05,Negotiation,rep_15,44,Neutral,Budget approval
ACT_CUST_0009_6,CUST_0009,2022-12-19,Follow-up Call,rep_15,67,Positive,Technical review
ACT_CUST_0009_7,CUST_0009,2022-11-21,Demo,rep_15,81,Neutral,Send proposal
ACT_CUST_0009_8,CUST_0009,2022-12-23,Follow-up Call,rep_15,75,Positive,Final approval
ACT_CUST_0009_9,CUST_0009,2023-01-06,Contract Review,rep_15,53,Positive,Budget approval
ACT_CUST_0009_10,CUST_0009,2023-02-05,Follow-up Call,rep_15,91,Positive,Schedule demo
ACT_CUST_0010_1,CUST_0010,2022-05-25,Negotiation,rep_7,70,Positive,Send proposal
ACT_CUST_0010_2,CUST_0010,2022-06-17,Contract Review,rep_7,63,Positive,Schedule demo
ACT_CUST_0010_3,CUST_0010,2022-05-26,Closing Call,rep_7,45,Positive,Contract terms
ACT_CUST_0010_4,CUST_0010,2022-05-12,Follow-up Call,rep_7,98,Neutral,Technical review
ACT_CUST_0010_5,CUST_0010,2022-05-26,Proposal Sent,rep_7,23,Positive,Technical review
ACT_CUST_0010_6,CUST_0010,2022-04-26,Closing Call,rep_7,73,Neutral,Technical review
ACT_CUST_0010_7,CUST_0010,2022-06-15,Contract Review,rep_7,39,Positive,Send proposal
ACT_CUST_0010_8,CUST_0010,2022-04-20,Negotiation,rep_7,17,Positive,Schedule demo
ACT_CUST_0011_1,CUST_0011,2022-06-09,Contract Review,rep_5,108,Positive,Schedule demo
ACT_CUST_0011_2,CUST_0011,2022-05-13,Demo,rep_5,78,Positive,Budget approval
ACT_CUST_0011_3,CUST_0011,2022-05-21,Contract Review,rep_5,62,Positive,Schedule demo
ACT_CUST_0011_4,CUST_0011,2022-05-22,Demo,rep_5,111,Negative,Schedule demo
ACT_CUST_0011_5,CUST_0011,2022-05-18,Contract Review,rep_5,24,Positive,Send proposal
ACT_CUST_0011_6,CUST_0011,2022-05-15,Follow-up Call,rep_5,119,Positive,Schedule demo
ACT_CUST_0011_7,CUST_0011,2022-05-11,Closing Call,rep_5,46,Positive,Budget approval
ACT_CUST_0012_1,CUST_0012,2023-01-22,Closing Call,rep_7,113,Positive,Final approval
ACT_CUST_0012_2,CUST_0012,2023-01-10,Contract Review,rep_7,64,Neutral,Technical review
ACT_CUST_0012_3,CUST_0012,2023-01-15,Proposal Sent,rep_7,95,Neutral,Final approval
ACT_CUST_0013_1,CUST_0013,2023-01-21,Follow-up Call,rep_17,76,Neutral,Send proposal
ACT_CUST_0013_2,CUST_0013,2023-02-13,Demo,rep_17,100,Positive,Schedule demo
ACT_CUST_0013_3,CUST_0013,2023-02-01,Closing Call,rep_17,70,Positive,Send proposal
ACT_CUST_0013_4,CUST_0013,2023-03-28,Follow-up Call,rep_17,89,Positive,Send proposal
ACT_CUST_0013_5,CUST_0013,2023-01-10,Demo,rep_17,89,Neutral,Budget approval
ACT_CUST_0013_6,CUST_0013,2023-03-17,Negotiation,rep_17,34,Positive,Schedule demo
ACT_CUST_0013_7,CUST_0013,2023-02-03,Proposal Sent,rep_17,78,Positive,Contract terms
ACT_CUST_0013_8,CUST_0013,2023-02-11,Closing Call,rep_17,22,Positive,Final approval
ACT_CUST_0013_9,CUST_0013,2023-01-24,Closing Call,rep_17,83,Neutral,Send proposal
ACT_CUST_0013_10,CUST_0013,2023-02-26,Proposal Sent,rep_17,55,Negative,Final approval
ACT_CUST_0013_11,CUST_0013,2023-03-24,Follow-up Call,rep_17,118,Neutral,Final approval
ACT_CUST_0014_1,CUST_0014,2021-12-07,Closing Call,rep_13,32,Positive,Schedule demo
ACT_CUST_0014_2,CUST_0014,2021-12-13,Closing Call,rep_13,71,Positive,Contract terms
ACT_CUST_0014_3,CUST_0014,2021-12-23,Contract Review,rep_13,39,Positive,Contract terms
ACT_CUST_0015_1,CUST_0015,2023-03-28,Negotiation,rep_15,85,Positive,Contract terms
ACT_CUST_0015_2,CUST_0015,2023-03-17,Contract Review,rep_15,52,Neutral,Contract terms
ACT_CUST_0015_3,CUST_0015,2023-04-06,Contract Review,rep_15,15,Neutral,Contract terms
ACT_CUST_0015_4,CUST_0015,2023-04-07,Closing Call,rep_15,38,Neutral,Contract terms
ACT_CUST_0015_5,CUST_0015,2023-04-06,Negotiation,rep_15,45,Positive,Schedule demo
ACT_CUST_0015_6,CUST_0015,2023-04-08,Proposal Sent,rep_15,82,Neutral,Contract terms
ACT_CUST_0015_7,CUST_0015,2023-03-16,Negotiation,rep_15,51,Positive,Final approval
ACT_CUST_0015_8,CUST_0015,2023-04-02,Demo,rep_15,27,Positive,Schedule demo
ACT_CUST_0016_1,CUST_0016,2022-06-14,Proposal Sent,rep_6,28,Positive,Schedule demo
ACT_CUST_0016_2,CUST_0016,2022-06-14,Negotiation,rep_6,97,Neutral,Final approval
ACT_CUST_0016_3,CUST_0016,2022-07-06,Negotiation,rep_6,94,Neutral,Technical review
ACT_CUST_0016_4,CUST_0016,2022-06-15,Follow-up Call,rep_6,43,Neutral,Schedule demo
ACT_CUST_0016_5,CUST_0016,2022-06-13,Proposal Sent,rep_6,98,Positive,Schedule demo
ACT_CUST_0017_1,CUST_0017,2022-11-04,Closing Call,rep_12,68,Neutral,Final approval
ACT_CUST_0017_2,CUST_0017,2022-09-16,Negotiation,rep_12,49,Positive,Final approval
ACT_CUST_0017_3,CUST_0017,2022-09-17,Follow-up Call,rep_12,24,Negative,Contract terms
ACT_CUST_0018_1,CUST_0018,2022-12-13,Contract Review,rep_8,39,Positive,Final approval
ACT_CUST_0018_2,CUST_0018,2022-11-30,Negotiation,rep_8,95,Negative,Contract terms
ACT_CUST_0018_3,CUST_0018,2022-12-15,Contract Review,rep_8,110,Positive,Final approval
ACT_CUST_0018_4,CUST_0018,2022-12-15,Follow-up Call,rep_8,101,Positive,Final approval
ACT_CUST_0019_1,CUST_0019,2023-08-16,Negotiation,rep_6,66,Positive,Final approval
ACT_CUST_0019_2,CUST_0019,2023-08-14,Negotiation,rep_6,91,Positive,Technical review
ACT_CUST_0019_3,CUST_0019,2023-08-29,Negotiation,rep_6,56,Neutral,Budget approval
ACT_CUST_0019_4,CUST_0019,2023-09-09,Closing Call,rep_6,56,Neutral,Contract terms
ACT_CUST_0020_1,CUST_0020,2022-05-22,Closing Call,rep_13,47,Positive,Budget approval
ACT_CUST_0020_2,CUST_0020,2022-05-12,Contract Review,rep_13,15,Neutral,Technical review
ACT_CUST_0020_3,CUST_0020,2022-05-26,Demo,rep_13,81,Positive,Technical review
ACT_CUST_0020_4,CUST_0020,2022-03-30,Follow-up Call,rep_13,43,Positive,Technical review
ACT_CUST_0020_5,CUST_0020,2022-04-01,Closing Call,rep_13,120,Positive,Contract terms
ACT_CUST_0020_6,CUST_0020,2022-05-18,Negotiation,rep_13,88,Negative,Send proposal
ACT_CUST_0021_1,CUST_0021,2022-04-09,Proposal Sent,rep_15,32,Positive,Contract terms
ACT_CUST_0021_2,CUST_0021,2022-04-04,Proposal Sent,rep_15,47,Neutral,Schedule demo
ACT_CUST_0021_3,CUST_0021,2022-04-19,Contract Review,rep_15,87,Negative,Final approval
ACT_CUST_0022_1,CUST_0022,2022-08-18,Contract Review,rep_16,120,Neutral,Final approval
ACT_CUST_0022_2,CUST_0022,2022-09-06,Demo,rep_16,91,Neutral,Schedule demo
ACT_CUST_0022_3,CUST_0022,2022-09-06,Contract Review,rep_16,25,Neutral,Technical review
ACT_CUST_0022_4,CUST_0022,2022-08-26,Contract Review,rep_16,68,Negative,Schedule demo
ACT_CUST_0022_5,CUST_0022,2022-08-21,Closing Call,rep_16,98,Neutral,Schedule demo
ACT_CUST_0022_6,CUST_0022,2022-09-09,Closing Call,rep_16,63,Positive,Contract terms
ACT_CUST_0022_7,CUST_0022,2022-08-11,Follow-up Call,rep_16,84,Positive,Technical review
ACT_CUST_0022_8,CUST_0022,2022-09-03,Closing Call,rep_16,43,Positive,Final approval
ACT_CUST_0023_1,CUST_0023,2022-12-02,Negotiation,rep_15,88,Positive,Send proposal
ACT_CUST_0023_2,CUST_0023,2022-10-31,Follow-up Call,rep_15,115,Positive,Send proposal
ACT_CUST_0023_3,CUST_0023,2022-10-22,Demo,rep_15,75,Positive,Schedule demo
ACT_CUST_0023_4,CUST_0023,2022-11-12,Contract Review,rep_15,48,Positive,Contract terms
ACT_CUST_0023_5,CUST_0023,2022-11-01,Closing Call,rep_15,31,Neutral,Budget approval
ACT_CUST_0023_6,CUST_0023,2022-11-13,Proposal Sent,rep_15,77,Positive,Contract terms
ACT_CUST_0023_7,CUST_0023,2022-10-09,Negotiation,rep_15,93,Negative,Contract terms
ACT_CUST_0023_8,CUST_0023,2022-10-13,Proposal Sent,rep_15,24,Positive,Budget approval
ACT_CUST_0023_9,CUST_0023,2022-10-21,Closing Call,rep_15,88,Positive,Final approval
ACT_CUST_0024_1,CUST_0024,2022-08-10,Proposal Sent,rep_12,56,Positive,Final approval
ACT_CUST_0024_2,CUST_0024,2022-07-10,Follow-up Call,rep_12,36,Negative,Contract terms
ACT_CUST_0024_3,CUST_0024,2022-08-19,Negotiation,rep_12,33,Positive,Send proposal
ACT_CUST_0024_4,CUST_0024,2022-07-27,Closing Call,rep_12,62,Positive,Final approval
ACT_CUST_0024_5,CUST_0024,2022-07-16,Demo,rep_12,109,Positive,Contract terms
ACT_CUST_0024_6,CUST_0024,2022-07-22,Follow-up Call,rep_12,16,Positive,Schedule demo
ACT_CUST_0024_7,CUST_0024,2022-08-06,Contract Review,rep_12,75,Positive,Send proposal
ACT_CUST_0024_8,CUST_0024,2022-08-29,Proposal Sent,rep_12,41,Positive,Technical review
ACT_CUST_0024_9,CUST_0024,2022-08-30,Contract Review,rep_12,94,Neutral,Send proposal
ACT_CUST_0025_1,CUST_0025,2022-04-20,Closing Call,rep_13,82,Positive,Send proposal
ACT_CUST_0025_2,CUST_0025,2022-02-28,Follow-up Call,rep_13,40,Neutral,Contract terms
ACT_CUST_0025_3,CUST_0025,2022-03-21,Demo,rep_13,74,Neutral,Schedule demo
ACT_CUST_0026_1,CUST_0026,2022-06-03,Closing Call,rep_9,61,Neutral,Schedule demo
ACT_CUST_0026_2,CUST_0026,2022-05-16,Closing Call,rep_9,64,Positive,Budget approval
ACT_CUST_0026_3,CUST_0026,2022-05-26,Closing Call,rep_9,27,Negative,Budget approval
ACT_CUST_0026_4,CUST_0026,2022-05-30,Negotiation,rep_9,26,Positive,Contract terms
ACT_CUST_0026_5,CUST_0026,2022-05-24,Negotiation,rep_9,106,Positive,Send proposal
ACT_CUST_0026_6,CUST_0026,2022-05-27,Follow-up Call,rep_9,57,Positive,Final approval
ACT_CUST_0026_7,CUST_0026,2022-05-09,Demo,rep_9,59,Neutral,Technical review
ACT_CUST_0026_8,CUST_0026,2022-06-01,Follow-up Call,rep_9,45,Negative,Contract terms
ACT_CUST_0026_9,CUST_0026,2022-05-15,Demo,rep_9,95,Positive,Budget approval
ACT_CUST_0027_1,CUST_0027,2022-11-17,Proposal Sent,rep_18,34,Positive,Budget approval
ACT_CUST_0027_2,CUST_0027,2022-12-23,Proposal Sent,rep_18,26,Neutral,Contract terms
ACT_CUST_0027_3,CUST_0027,2022-12-25,Negotiation,rep_18,95,Neutral,Budget approval
ACT_CUST_0028_1,CUST_0028,2023-01-21,Follow-up Call,rep_5,92,Positive,Contract terms
ACT_CUST_0028_2,CUST_0028,2023-01-07,Proposal Sent,rep_5,98,Positive,Contract terms
ACT_CUST_0028_3,CUST_0028,2023-02-03,Proposal Sent,rep_5,32,Positive,Final approval
ACT_CUST_0028_4,CUST_0028,2023-02-13,Negotiation,rep_5,32,Positive,Send proposal
ACT_CUST_0028_5,CUST_0028,2023-02-01,Negotiation,rep_5,35,Positive,Contract terms
ACT_CUST_0028_6,CUST_0028,2023-01-26,Closing Call,rep_5,30,Positive,Send proposal
ACT_CUST_0028_7,CUST_0028,2023-02-05,Demo,rep_5,112,Positive,Budget approval
ACT_CUST_0028_8,CUST_0028,2023-01-20,Follow-up Call,rep_5,71,Neutral,Final approval
ACT_CUST_0028_9,CUST_0028,2023-02-05,Follow-up Call,rep_5,34,Neutral,Schedule demo
ACT_CUST_0028_10,CUST_0028,2023-01-07,Proposal Sent,rep_5,18,Neutral,Contract terms
ACT_CUST_0028_11,CUST_0028,2023-01-30,Follow-up Call,rep_5,92,Positive,Send proposal
ACT_CUST_0028_12,CUST_0028,2023-01-29,Proposal Sent,rep_5,44,Neutral,Technical review
ACT_CUST_0029_1,CUST_0029,2022-03-09,Negotiation,rep_5,75,Neutral,Technical review
ACT_CUST_0029_2,CUST_0029,2022-02-21,Contract Review,rep_5,77,Positive,Send proposal
ACT_CUST_0029_3,CUST_0029,2022-02-22,Proposal Sent,rep_5,19,Positive,Schedule demo
ACT_CUST_0029_4,CUST_0029,2022-02-26,Contract Review,rep_5,43,Neutral,Send proposal
ACT_CUST_0029_5,CUST_0029,2022-02-22,Demo,rep_5,37,Negative,Budget approval
ACT_CUST_0029_6,CUST_0029,2022-03-14,Contract Review,rep_5,103,Positive,Budget approval
ACT_CUST_0029_7,CUST_0029,2022-02-24,Contract Review,rep_5,66,Neutral,Contract terms
ACT_CUST_0029_8,CUST_0029,2022-03-03,Closing Call,rep_5,55,Positive,Final approval
ACT_CUST_0029_9,CUST_0029,2022-03-12,Negotiation,rep_5,83,Positive,Final approval
ACT_CUST_0029_10,CUST_0029,2022-02-14,Negotiation,rep_5,28,Positive,Schedule demo
ACT_CUST_0030_1,CUST_0030,2022-07-17,Contract Review,rep_17,109,Positive,Budget approval
ACT_CUST_0030_2,CUST_0030,2022-07-15,Closing Call,rep_17,21,Positive,Budget approval
ACT_CUST_0030_3,CUST_0030,2022-07-03,Follow-up Call,rep_17,114,Neutral,Budget approval
ACT_CUST_0030_4,CUST_0030,2022-06-11,Contract Review,rep_17,52,Neutral,Schedule demo
ACT_CUST_0030_5,CUST_0030,2022-07-31,Negotiation,rep_17,33,Positive,Final approval
ACT_CUST_0030_6,CUST_0030,2022-07-08,Demo,rep_17,107,Positive,Send proposal
ACT_CUST_0031_1,CUST_0031,2023-05-16,Contract Review,rep_18,67,Positive,Schedule demo
ACT_CUST_0031_2,CUST_0031,2023-05-20,Contract Review,rep_18,90,Neutral,Send proposal
ACT_CUST_0031_3,CUST_0031,2023-06-16,Demo,rep_18,47,Positive,Final approval
ACT_CUST_0031_4,CUST_0031,2023-07-11,Proposal Sent,rep_18,106,Neutral,Schedule demo
ACT_CUST_0031_5,CUST_0031,2023-05-14,Closing Call,rep_18,72,Neutral,Schedule demo
ACT_CUST_0031_6,CUST_0031,2023-06-22,Closing Call,rep_18,64,Neutral,Contract terms
ACT_CUST_0031_7,CUST_0031,2023-07-01,Proposal Sent,rep_18,63,Positive,Schedule demo
ACT_CUST_0031_8,CUST_0031,2023-07-16,Proposal Sent,rep_18,57,Positive,Final approval
ACT_CUST_0031_9,CUST_0031,2023-05-17,Proposal Sent,rep_18,33,Positive,Final approval
ACT_CUST_0031_10,CUST_0031,2023-05-07,Contract Review,rep_18,54,Positive,Budget approval
ACT_CUST_0031_11,CUST_0031,2023-05-31,Closing Call,rep_18,38,Positive,Send proposal
ACT_CUST_0031_12,CUST_0031,2023-05-22,Demo,rep_18,94,Neutral,Schedule demo
ACT_CUST_0032_1,CUST_0032,2023-09-17,Demo,rep_16,92,Neutral,Send proposal
ACT_CUST_0032_2,CUST_0032,2023-08-17,Negotiation,rep_16,99,Positive,Budget approval
ACT_CUST_0032_3,CUST_0032,2023-09-07,Demo,rep_16,91,Neutral,Send proposal
ACT_CUST_0032_4,CUST_0032,2023-09-18,Follow-up Call,rep_16,94,Neutral,Send proposal
ACT_CUST_0032_5,CUST_0032,2023-07-31,Proposal Sent,rep_16,33,Positive,Technical review
ACT_CUST_0032_6,CUST_0032,2023-07-30,Proposal Sent,rep_16,19,Neutral,Contract terms
ACT_CUST_0032_7,CUST_0032,2023-08-24,Follow-up Call,rep_16,26,Positive,Budget approval
ACT_CUST_0032_8,CUST_0032,2023-08-13,Proposal Sent,rep_16,101,Positive,Final approval
ACT_CUST_0032_9,CUST_0032,2023-09-22,Negotiation,rep_16,115,Positive,Budget approval
ACT_CUST_0032_10,CUST_0032,2023-09-21,Follow-up Call,rep_16,19,Positive,Technical review
ACT_CUST_0033_1,CUST_0033,2022-08-20,Contract Review,rep_13,85,Positive,Budget approval
ACT_CUST_0033_2,CUST_0033,2022-08-27,Demo,rep_13,103,Neutral,Technical review
ACT_CUST_0033_3,CUST_0033,2022-09-23,Negotiation,rep_13,41,Neutral,Contract terms
ACT_CUST_0033_4,CUST_0033,2022-08-19,Demo,rep_13,88,Neutral,Final approval
ACT_CUST_0033_5,CUST_0033,2022-08-22,Contract Review,rep_13,107,Neutral,Final approval
ACT_CUST_0033_6,CUST_0033,2022-09-10,Contract Review,rep_13,92,Neutral,Technical review
ACT_CUST_0033_7,CUST_0033,2022-09-17,Proposal Sent,rep_13,93,Positive,Contract terms
ACT_CUST_0033_8,CUST_0033,2022-10-01,Contract Review,rep_13,118,Positive,Contract terms
ACT_CUST_0034_1,CUST_0034,2023-08-19,Demo,rep_7,18,Positive,Schedule demo
ACT_CUST_0034_2,CUST_0034,2023-09-23,Proposal Sent,rep_7,117,Neutral,Budget approval
ACT_CUST_0034_3,CUST_0034,2023-09-08,Demo,rep_7,57,Positive,Final approval
ACT_CUST_0034_4,CUST_0034,2023-08-29,Demo,rep_7,96,Positive,Technical review
ACT_CUST_0034_5,CUST_0034,2023-08-31,Demo,rep_7,54,Positive,Contract terms
ACT_CUST_0034_6,CUST_0034,2023-09-03,Demo,rep_7,29,Neutral,Technical review
ACT_CUST_0034_7,CUST_0034,2023-09-07,Closing Call,rep_7,87,Neutral,Schedule demo
ACT_CUST_0035_1,CUST_0035,2022-10-22,Follow-up Call,rep_7,101,Positive,Budget approval
ACT_CUST_0035_2,CUST_0035,2022-12-06,Demo,rep_7,97,Positive,Send proposal
ACT_CUST_0035_3,CUST_0035,2022-11-19,Contract Review,rep_7,83,Neutral,Budget approval
ACT_CUST_0035_4,CUST_0035,2022-12-05,Contract Review,rep_7,110,Positive,Contract terms
ACT_CUST_0035_5,CUST_0035,2022-10-19,Negotiation,rep_7,107,Neutral,Contract terms
ACT_CUST_0036_1,CUST_0036,2023-05-22,Closing Call,rep_7,57,Neutral,Technical review
ACT_CUST_0036_2,CUST_0036,2023-04-02,Proposal Sent,rep_7,50,Neutral,Technical review
ACT_CUST_0036_3,CUST_0036,2023-05-02,Closing Call,rep_7,83,Neutral,Contract terms
ACT_CUST_0037_1,CUST_0037,2023-10-27,Demo,rep_6,115,Neutral,Final approval
ACT_CUST_0037_2,CUST_0037,2023-09-30,Closing Call,rep_6,19,Positive,Schedule demo
ACT_CUST_0037_3,CUST_0037,2023-10-18,Proposal Sent,rep_6,62,Positive,Technical review
ACT_CUST_0037_4,CUST_0037,2023-09-20,Negotiation,rep_6,53,Positive,Technical review
ACT_CUST_0037_5,CUST_0037,2023-09-03,Proposal Sent,rep_6,26,Positive,Schedule demo
ACT_CUST_0037_6,CUST_0037,2023-10-16,Negotiation,rep_6,34,Positive,Budget approval
ACT_CUST_0037_7,CUST_0037,2023-10-20,Follow-up Call,rep_6,114,Positive,Schedule demo
ACT_CUST_0037_8,CUST_0037,2023-10-20,Closing Call,rep_6,31,Positive,Schedule demo
ACT_CUST_0037_9,CUST_0037,2023-10-14,Contract Review,rep_6,106,Neutral,Schedule demo
ACT_CUST_0038_1,CUST_0038,2022-06-27,Demo,rep_2,57,Positive,Schedule demo
ACT_CUST_0038_2,CUST_0038,2022-06-04,Negotiation,rep_2,113,Neutral,Technical review
ACT_CUST_0038_3,CUST_0038,2022-05-31,Negotiation,rep_2,112,Positive,Send proposal
ACT_CUST_0038_4,CUST_0038,2022-06-14,Proposal Sent,rep_2,39,Positive,Contract terms
ACT_CUST_0038_5,CUST_0038,2022-06-14,Contract Review,rep_2,100,Positive,Send proposal
ACT_CUST_0038_6,CUST_0038,2022-06-06,Follow-up Call,rep_2,29,Positive,Contract terms
ACT_CUST_0038_7,CUST_0038,2022-06-26,Negotiation,rep_2,28,Positive,Technical review
ACT_CUST_0039_1,CUST_0039,2023-04-06,Closing Call,rep_9,117,Positive,Send proposal
ACT_CUST_0039_2,CUST_0039,2023-04-09,Demo,rep_9,54,Neutral,Technical review
ACT_CUST_0039_3,CUST_0039,2023-05-15,Contract Review,rep_9,21,Positive,Budget approval
ACT_CUST_0039_4,CUST_0039,2023-03-28,Demo,rep_9,64,Positive,Budget approval
ACT_CUST_0039_5,CUST_0039,2023-05-01,Proposal Sent,rep_9,105,Positive,Contract terms
ACT_CUST_0039_6,CUST_0039,2023-05-24,Closing Call,rep_9,104,Positive,Technical review
ACT_CUST_0039_7,CUST_0039,2023-04-23,Follow-up Call,rep_9,119,Positive,Final approval
ACT_CUST_0039_8,CUST_0039,2023-05-14,Demo,rep_9,111,Neutral,Contract terms
ACT_CUST_0040_1,CUST_0040,2022-08-25,Contract Review,rep_15,54,Neutral,Final approval
ACT_CUST_0040_2,CUST_0040,2022-09-27,Contract Review,rep_15,75,Positive,Send proposal
ACT_CUST_0040_3,CUST_0040,2022-08-27,Negotiation,rep_15,48,Negative,Budget approval
ACT_CUST_0040_4,CUST_0040,2022-08-29,Closing Call,rep_15,100,Positive,Technical review
ACT_CUST_0041_1,CUST_0041,2022-10-06,Contract Review,rep_1,29,Positive,Budget approval
ACT_CUST_0041_2,CUST_0041,2022-10-16,Follow-up Call,rep_1,113,Positive,Contract terms
ACT_CUST_0041_3,CUST_0041,2022-10-12,Negotiation,rep_1,28,Positive,Final approval
ACT_CUST_0041_4,CUST_0041,2022-10-10,Follow-up Call,rep_1,86,Neutral,Technical review
ACT_CUST_0041_5,CUST_0041,2022-11-20,Contract Review,rep_1,66,Positive,Send proposal
ACT_CUST_0041_6,CUST_0041,2022-10-23,Negotiation,rep_1,35,Negative,Budget approval
ACT_CUST_0041_7,CUST_0041,2022-10-06,Follow-up Call,rep_1,41,Neutral,Contract terms
ACT_CUST_0041_8,CUST_0041,2022-11-10,Contract Review,rep_1,87,Neutral,Contract terms
ACT_CUST_0041_9,CUST_0041,2022-10-22,Proposal Sent,rep_1,99,Neutral,Final approval
ACT_CUST_0041_10,CUST_0041,2022-11-24,Contract Review,rep_1,29,Positive,Budget approval
